part	groupCount	sourceText
4	1	Gulasz z ciecierzycy z kurkumą
4	1	Gulasz z dzika
4	1	Gulasz z indyka z warzywami i kaszą jęczmienną
4	1	Gulasz z kaczki po landyjsku
4	1	Gulasz z kiełbasą i fasolą
4	1	Gulasz z zielonej soczewicy i ziemniaków
4	1	Gulasz z ziołami
4	1	Gulasz z żabnicy
4	1	Gulasz z żołądków wg Kiszki
4	1	Gulasz ziemniaczany z boczkiem
4	1	Halibut na parze
4	1	Harira z kurczakiem wg Kiszki
4	1	Herbaciana zupa z suszonych owoców
4	1	Hummus paprykowy
4	1	Hummus z marchwią i sezamem
4	1	Imbirowe babeczki
4	1	Imprezowe kanapki z indykiem
4	1	Indyjski makaron jednogarnkowy
4	1	Indyk w chilli
4	1	Indyk w pomarańczach
4	1	Indyk w sosie musztardowym
4	1	Indyk z marchewką wg Pati Sołtysik
4	14	Inne ryby
4	1	Jabłka w cieście cynamonowym
4	1	Jabłka z cebulą
4	6	Jabłko
4	1	Jabłkowe róże
4	27	Jagnięcina
4	1	Jagnięcina po grecku
4	1	Jagnięcina z bobem i szpinakiem
4	1	Jagnięcina z leśnymi grzybami
4	1	Jagnięcina z orzeszkami piniowymi
4	1	Jagnięcina z trzema paprykami
4	1	Jagodowe keto placuszki
4	1	Jajecznica na boczku
4	1	Jajecznica po francusku
4	1	Jajecznica z kurkami
4	1	Jajecznica ze szpinakiem i suszonymi pomidorami
4	1	Jajka curry po Keralsku
4	1	Jajka faszerowane pieczarkami
4	1	Jajka na boczniakach
4	1	Jajka po szkocku
4	1	Jajka w sosie musztardowo-majonezowym
4	1	Jajka z marchewką i mozzarellą
4	1	Jajka z mozzarellą i pomidorem
4	1	Jajka zapiekane z pomidorami
4	1	Jajka zapiekane z porem
4	1	Jajka zapiekane ze szparagami
4	1	Japoński flan jajeczny
4	1	Japoński ramen na zimno
4	1	Jednogarnkowy makaron penne z mięsem mielonym, cukinią i papryką
4	1	Jednogarnkowy makaron w stylu paelli
4	1	Jednogarnkowy makaron z kurczakiem
4	1	Jednoporcjowy deser budyniowy
4	1	Jesienna zupa
4	1	Jesienny gulasz z indyka i dyni
4	1	Jogurt grecki ze smażonymi brzoskwiniami
4	1	Joker’s crazy rice – zwariowany ryż
4	1	Kaczka i słodki placek ziemniaczany
4	1	Kaczka z cytrusami
4	1	Kakaowa gryczanka z malinami
4	1	Kakaowa jaglanka z malinami
4	17	Kalafior
4	1	Kalafior po hiszpańsku
4	1	Kalafior po indyjsku
4	1	Kalafior w sosie beszamelowym
4	1	Kalmary po baskijsku
4	1	Kalmary w pomidorach
4	1	Kalmary z polentą
4	1	Kanapka philly cheesesteak
4	1	Kanapka Rubena
4	1	Kanapka z pastą z pieczonego bakłażana, papryki i fety
4	1	Kanapki z batata
5	1	Kanapki z krewetkami i szparagami
5	10	Kapusta
5	1	Kapusta duszona z grzybami
5	8	Kapusta włoska
5	1	Kapusta z grzybami
5	1	Kapuśniak
5	1	Kapuśniak według Pati Sołtysik
5	1	Kapuśniak z kremowymi klopsikami
5	1	Karbonada
5	4	Karczoch
5	1	Karkówka po chińsku
5	1	Karkówka po cygańsku
5	1	Karkówka według Kiszki Ziemniaczanej
5	1	Karkówka wg Pati Sołtysik
5	1	Karmelizowana czerwona cebulka
5	1	Karmelizowana wieprzowina
5	4	Kasza bulgur
5	1	Kasza bulgur z białym sosem
5	1	Kasza bulgur z pomidorami
5	5	Kasza gryczana
5	1	Kasza gryczana z parmezanem i suszonym pomidorem
5	5	Kasza jaglana
5	2	Kasza jęczmienna
5	1	Kasza kuskus z kurczakiem i cukinią
5	1	Kasza z kurkami i sosem koperkowym
5	1	Kaszanka na jabłkach i cebuli
5	1	Kaszanka z jabłkami
5	1	Kaszotto z gorgonzolą i szpinakiem
5	1	Kaszotto z indykiem i burakami
5	1	Kawałki ziemniaków z przyprawami
5	1	Keto babka wielkanocna
5	1	Keto brokuły z sadzonym jajkiem
5	1	Keto faszerowane pieczarki z warzywami
5	1	Keto jajecznica z brukselką
5	1	Keto leczo
5	1	Keto makaron z krewetkami
5	1	Keto muffiny korzenno-marchewkowe
5	1	Keto omlet z figą
5	1	Keto racuchy z jabłkami
5	1	Keto zapiekanka z 3 składników
5	1	Kiełbaski Montbeliard
5	1	Kiełbaski z ziemniakami
5	1	Kisz szparagowy
5	1	Klarowna zupa grzybowa z łazankami i kwaśną śmietaną
5	1	Klopsiki jagnięce
5	1	Klopsiki jagnięce wg Andrzeja Andrzejczaka
5	1	Klopsiki w kremowym sosie pieczarkowym
5	1	Klopsiki w sosie curry
5	1	Klopsiki w sosie pomidorowym
5	1	Klopsiki wołowe według Kiszki
5	1	Klopsiki wołowe z makiem
5	1	Kluski z makiem z domowym makaronem
5	1	Knedle ze śliwkami
5	1	Kokosowa kasza manna z owocami
5	5	Komosa ryżowa
5	1	Komosa ryżowa z kapustą tajską
5	1	Komosa ryżowa z małżami japońskimi
5	1	Kompot francuski z rabarbaru
5	1	Kompot jabłkowo-truskawkowy
5	1	Koncentrat do świątecznej herbaty zimowej
5	1	Konfitura cebulowa z gorącym serem
5	1	Konfitura wiśniowa z amaretto
5	1	Konfitura z pieczonych polskich śliwek
5	13	Koper włoski
5	1	Koperkowa z jajkiem
5	1	Koreańska owsianka ryżowa
5	1	Kotleciki siekane z batatem
5	1	Kotleciki siekane z kurczakiem
5	1	Kotleciki szu szu
5	1	Kotleciki wołowo-warzywne
5	1	Kotleciki z łososia z pieczonymi ziemniakami
5	1	Kotlety jagnięce z cytryną
5	1	Kotlety jajeczne (wersja dla IO)
5	1	Kotlety mielone z pieczarkami i papryką
5	1	Kotlety rybne
5	1	Krem bananowy z białą czekoladą
5	1	Krem cappuccino
5	1	Krem karmelowy
5	1	Krem kokosowo-czekoladowy
5	1	Krem pieczarkowo-serowy
5	1	Krem porowo-musztardowy
5	1	Krem z bakłażana i selera
5	1	Krem z białych warzyw z karmelizowaną gruszką
5	1	Krem z brokułów
5	1	Krem z buraków
5	1	Krem z cukinii z fetą
5	1	Krem z dyni
5	1	Krem z dyni i foie gras
5	1	Krem z dyni na mleczku kokosowym
5	1	Krem z dyni z cynamonem
5	1	Krem z grzybów z oliwą truflową
5	2	Krem z kalafiora
5	1	Krem z kalafiora z wanilią
5	1	Krem z kukurydzy i mleka kokosowego
5	1	Krem z migdałów i miodu
5	1	Krem z miodem i kurkumą
5	1	Krem z mleczną konfiturą
5	1	Krem z pieczarek
5	1	Krem z pieczarek wg Kiszki
5	1	Krem z pieczonych buraków
6	1	Krem z pieczonych pomidorów
6	1	Krem z pieczonych pomidorów z grillowanymi szparagami
6	1	Krem z pieczonych warzyw
6	1	Krem z pietruszki z boczkiem karmelizowanym w syropie klonowym
6	1	Krem z pomidorów
6	1	Krem z truskawkami
6	1	Krem ze szparagów zero waste
6	1	Kremowa zupa z buraków z ziemniakami
6	1	Kremowe orzo z pieczarkami
6	1	Kremowy indyk z groszkiem i marchewką
6	1	Kremowy makaron z boczniakami
6	1	Kremowy makaron ze szparagami
6	1	Kremowy pasztet
6	1	Kremowy przecier jabłkowy
6	7	Krewetka
6	1	Krewetki King z pesto z karczocha
6	1	Krewetki z awokado w werynkach
6	1	Krewetki z kolendrą
6	1	Krewetki z kurkami
6	1	Krokieciki z batatów
6	1	Krokiety keto z kapustą i pieczarkami
6	1	Krokiety rybne
6	1	Krupnik wg Pati Sołtysik
6	4	Królik
6	1	Królik w piwie
6	1	Królik w piwie z cykorią
6	1	Królik z oliwkami
6	1	Królik z suszonymi śliwkami
6	1	Kulki mięsne - kofta
6	1	Kulki mięsne w sosie estragonowym
6	1	Kurczak Aji Amarillo
6	1	Kurczak curry z papryką
6	1	Kurczak Farmera
6	1	Kurczak faszerowany grzybami
6	1	Kurczak jak z rożna
6	1	Kurczak nadziewany mozzarellą
6	1	Kurczak Paella
6	1	Kurczak po baskijsku
6	1	Kurczak po chłopsku
6	1	Kurczak po syryjsku z ryżem
6	1	Kurczak po tajsku z ryżem
6	1	Kurczak po toskańsku z marchewką
6	1	Kurczak słodko-kwaśny
6	1	Kurczak tandoori
6	1	Kurczak Teriyaki
6	1	Kurczak tikka curry
6	1	Kurczak w cieście ze szpinakiem i pomidorami
6	1	Kurczak w morelach
6	1	Kurczak w sosie z octu balsamicznego
6	1	Kurczak w słodkiej marynacie
6	1	Kurczak yakitori
6	1	Kurczak z granatem i orzechami włoskimi
6	1	Kurczak z kurkami wg Kiszki
6	1	Kurczak z limonką i mlekiem kokosowym
6	1	Kurczak z masłem orzechowym
6	1	Kurczak z papryczką Aji amarillo
6	1	Kurczak z rożna z przyprawami
6	1	Kurczak z ryżem
6	1	Kurczak z zielonym curry
6	1	Kurczak ze skrystalizowaną cytryną
6	1	Kuskus z jajami na twardo
6	2	Kuskus z owocami morza
6	1	Latynoska sałatka ze słodkiej kukurydzy
6	1	Lazania
6	1	Leczo według Pati Sołtysik
6	1	Leczo z ciecierzycą
6	1	Lemon Chicken Soup
6	1	Letni obiad - kotlety sojowe z ziemniakami i fasolką
6	1	Mac and Cheese
6	1	Makaron brokułowy z kurczakiem
6	1	Makaron jednogarnkowy à la pizza
6	1	Makaron konjac z twarogiem i boczkiem
6	1	Makaron linguine z mięsem mielonym i cebulą
6	1	Makaron orzo z cukinią, marchewką i indykiem w curry
6	1	Makaron orzo z kurczakiem i cukinią
6	1	Makaron orzo ze szparagami i aromatycznym kurczakiem
6	1	Makaron ryżowy curry z tofu wg Pati
6	1	Makaron ryżowy po tajsku
6	1	Makaron ryżowy vermicelli z krewetkami
6	1	Makaron ryżowy z kurczakiem i warzywami
6	1	Makaron ryżowy z wołowiną
6	1	Makaron udon z warzywami i masłem orzechowym
6	1	Makaron w mocno serowym sosie z pieczarkami
6	1	Makaron wołowy w sosie barbecue
6	1	Makaron z boczkiem i szparagami
6	1	Makaron z groszkiem, cukinią i ricottą
6	1	Makaron z groszku w sosie kurkowym
6	1	Makaron z krewetkami wg Pati Sołtysik
6	1	Makaron z kurczakiem i serem
